index,en,zh-tw
21,conventional dual arrangement,傳統的雙重安排
22,conventional dual clutch,傳統雙離合器
23,differential,微分
24,double coupling,雙聯軸器
25,dual shaft gear,雙軸齒輪
26,dual shaft gearing,雙軸傳動
27,dual speed gear,雙速齒輪
28,dual speed gearing,雙速傳動
29,friction assembly,摩擦組件
30,known clutch,已知離合器
31,known dual arrangement,已知的雙重排列
32,known dual clutch,已知的雙離合器
33,multiple clutch,多離合器
34,planetary shaft,行星軸
35,shaft gear,軸齒輪
36,shaft gearing,軸傳動
37,speed gear,速度齒輪
38,speed gearing,速度傳動
39,torque gear,扭矩齒輪
40,torque shaft,扭矩軸
41,alarm device,報警裝置
42,antipodal demodulator,對映解調器
43,antipodal finline structures,對足鰭狀結構
44,antipodal slot antenna,對映槽天線
45,bandwidth receiver,帶寬接收器
46,bandwidth set,帶寬集
47,bandwidth system,帶寬系統
48,codebook,密碼本
49,duplex,雙工
50,duplex apartment,複式公寓
51,duplex client,雙工客戶端
52,duplex communication,雙工通信
53,duplex floor,複式地板
54,duplex floor control,複式樓層控制
55,duplex house,複式房子
56,duplex mf,雙工中頻
57,duplex mf control,雙工 mf 控制
58,duplex receiver,雙工接收器
59,duplex set,雙工集
60,duplex switch,雙工開關
61,duplex switching,雙工交換
62,duplex system,雙工系統
63,duplex talker,雙工通話器
64,duplexer device,雙工器設備
65,fancy device,花哨的設備
66,floor control,樓層控制
67,full duplex,全雙工
68,full duplex network,全雙工網絡
69,half duplex device,半雙工設備
70,hospital devices,醫院設備
71,multiplex devices,多路復用設備
72,pc device,電腦設備
73,route switch,路由切換
74,sip,啜
75,sip device,啜飲裝置
76,sip pc,啜飲電腦
77,terminating devices,終端設備
78,transmission lines,傳輸線
79,analytic concentration,分析濃度
80,api,api
81,cold water proteases,冷水蛋白酶
82,combustion network,燃燒網絡
83,combustion vessel system,燃燒容器系統
84,diesel spray combustion,柴油噴霧燃燒
85,ecn coin,ecn硬幣
86,ecn global,ecn全球
87,ecn value,ecn值
88,endohydrolysis of linking elements,連接元件的內水解
89,engine area,發動機區
90,engine combustion network,發動機燃燒網絡
91,engine guard,發動機護罩
92,hl number,hl數
93,ignition quality,點火質量
94,networking system,網絡系統
95,octane,辛烷值
96,octane number,辛烷值
97,value,價值
98,water mixture,水混合物
99,water soluble vitamin e,水溶性維生素e
100,accessible communication network,可訪問的通信網絡
101,communication signal,通訊信號
102,computer network,計算機網絡
103,congestion episode,擁堵情節
104,ear nose throat,耳鼻喉
105,edge compute nodes,邊緣計算節點
106,electronic communication network,電子通訊網絡
107,electronic component news,電子元件新聞
108,emergency communication,應急通訊
109,european cricket network,歐洲板球網絡
110,explicit congestion notification,顯式擁塞通知
111,food network,食物網
112,global data,全球數據
113,information processing,信息處理
114,information transmission,信息傳遞
115,message processing,消息處理
116,message transmission,消息傳輸
117,multi user computer,多用戶計算機
118,packet drop rate,丟包率
119,sheet stopping function,停紙功能
120,signaling,信令
121,soft,柔軟的
122,stopping operation,停止運行
123,stopping the print job,停止打印作業
124,wide area computer network,廣域計算機網絡
125,widescreen monitor,寬屏顯示器
126,average storage,平均存儲
127,average volume,平均音量
128,capacity,容量
129,dense storage,密集存儲
130,effective luminance patterns,有效亮度模式
131,effective network layer,有效網絡層
132,effective storage amount,有效儲存量
133,effective storage area,有效存儲區
134,effective wireless bandwidth,有效無線帶寬
135,efficient data storage,高效的數據存儲
136,efficient memory,高效記憶
137,fast data access,快速數據訪問
138,fast food,快餐
139,high altitude,高海拔
140,high storage efficiency,存儲效率高
141,internal,內部的
142,internal volume,內部容積
143,loading ratio,負載率
144,proportions,比例
145,reliable data storage,可靠的數據存儲
146,reliable storage,可靠的存儲
147,storage life,儲存壽命
148,storage shed,儲藏屋
149,storage surface,存儲面
150,cost effective storage,具有成本效益的存儲
151,device internal,設備內部
152,effective,有效的
153,effective ball,有效球
154,effective capacity,有效容量
155,effective containment,有效遏制
156,effective medicine,有效藥物
157,effective practices,有效的做法
158,effective rotation,有效旋轉
159,effective storage capacity,有效存儲容量
160,effective storage strategies,有效的存儲策略
161,effective volume storage,有效容量存儲
162,energy wastage,能源浪費
163,hard disk,硬盤
164,high reliability memory,高可靠性內存
165,internal cross,內部交叉
166,internal cross sectional,內部橫截面
167,internal sectional,內部截面
168,non effective storage device,無效的存儲設備
169,overall effective storage,整體有效存儲
170,storage capability,存儲能力
171,storage resource management,存儲資源管理
172,stored,存儲
173,wastage of compressed air,壓縮空氣的浪費
174,wastage of water,浪費水
175,el device,設備
176,el display device,顯示設備
177,el emitting,發射
178,el emitting device,發光裝置
179,el panel,面板
180,electro display,電子顯示器
181,electro emitting,電發射
182,electro emitting display,電子發射顯示器
183,electroluminescence,電致發光
184,electroluminescence device,電致發光裝置
185,electroluminescence display,電致發光顯示器
186,electroluminescent,電致發光
187,electroluminescent panel,電致發光面板
188,light display,燈光顯示
189,light display device,燈光顯示裝置
190,light emitting,發光的
191,light emitting device,發光裝置
192,el forming,形成
193,el light display,el燈顯示
194,el light emitting,el 發光
195,electroluminescent display,電致發光顯示器
196,electroluminescent emitting,電致發光
197,electronic el display,電子顯示器
198,electronic el emitting,電子發射
199,electronic image display,電子圖像顯示
200,electronic image emitting,電子圖像發射
201,image display,圖像顯示
202,image forming,成像
203,light el,光埃爾
204,ole,奧萊
205,organic el display,安排顯示
206,organic el emitting,有機EL發光
207,organic image display,有機圖像顯示
208,organic image emitting,有機圖像發射
209,active crystal display,有源水晶顯示器
210,active crystal emitting,有源晶體發射
211,active el display,有源顯示器
212,active el emitting,主動發光
213,display powder,展示粉
214,door panel,門板
215,el apparatus,電子儀器
216,el device apparatus,el 設備 裝置
217,el device method,el裝置法
218,el device panel,設備面板
219,el display apparatus,el顯示裝置
220,el display method,el顯示方式
221,el display panel,顯示面板
222,el display panels,顯示面板
223,el element,元素
224,eld,場
225,electro crystal display,電晶體顯示器
226,electro crystal emitting,電晶體發射
227,electro luminescent display,電致發光顯示器
228,electroluminescent apparatus,電致發光裝置
229,electroluminescent device apparatus,電致發光器件裝置
230,electroluminescent device method,電致發光器件法
231,electroluminescent device panel,電致發光器件面板
232,electroluminescent display apparatus,電致發光顯示裝置
233,electroluminescent display device,電致發光顯示裝置
234,electroluminescent display method,電致發光顯示方法
235,electroluminescent display panel,電致發光顯示面板
236,electroluminescent element,電致發光元件
237,image el,圖片
238,inorganic el display,無機EL顯示器
239,lcd device,液晶設備
240,light crystal display,水晶燈顯示
241,light crystal emitting,發光晶體
242,light el display,發光顯示器
243,light el emitting,發光的
244,light emitting display device,發光顯示裝置
245,liquid crystal display,液晶顯示器
246,liquid crystal emitting,液晶發光
247,liquid el display,清除顯示
248,liquid el emitting,液體發光
249,multiply devices,倍增設備
250,panel data,面板數據
251,refrigerator panel,冰箱面板
252,self emission device,自發射裝置
253,self emission display,自發光顯示器
254,self light emitting device,自發光裝置
255,artwork display,藝術品展示
256,cathode ray tube,陰極射線管
257,el crystal display,el水晶顯示器
258,el dorado,黃金
259,electroluminescent screen,電致發光屏
260,fireworks display,煙花匯演
261,fluorescent screen,熒光屏
262,illuminable,可發光的
263,phosphor screen,熒光屏
264,thin film electroluminescent display,薄膜電致發光顯示器
265,elastic device,彈性裝置
266,elastic means,彈性裝置
267,elastic member,彈性件
268,elastic spring,彈性彈簧
269,retaining member,保持構件
270,retaining spring,保持彈簧
271,return device,返回裝置
272,return means,返回手段
273,springs,彈簧
274,elastic elasticized portion,彈性加彈部分
275,elastic elasticized region,彈性增韌區
276,elastic element,彈性元件
277,elastic region,彈性區
278,resilient element,彈性元件
279,resilient member,彈性構件
280,thrust member,推力構件
281,thrust spring,推力彈簧
282,waist elastic portion,腰部彈性部分
283,waist elastic region,腰部彈性區
284,waist elasticized portion,腰部彈性部分
285,waist elasticized region,腰部彈力區
286,waist member,腰部成員
287,waist region,腰部
288,actuator mechanism,執行機構
289,actuator pivotally,致動器樞轉
290,adjustable assembly,可調組件
291,articulated assembly pivotally,鉸接組件可樞轉
292,articulated assembly rotatably,鉸接組件可旋轉
293,articulated mechanism pivotally,鉸接機構
294,articulated mechanism rotatably,鉸接機構可旋轉
295,committee assembly,委員會大會
296,connecting sheet,連接片
297,damping rubber,阻尼橡膠
298,elastic collision,彈性碰撞
299,elastic network structure,彈性網絡結構
300,elastic repulsive member,彈性排斥件
301,elastic tensioning device,彈性張緊裝置
302,electromagnet,電磁鐵
303,electromagnetic assembly pivotally,可樞轉的電磁總成
304,electromagnetic assembly rotatably,可旋轉的電磁組件
305,electromagnetic mechanism,電磁機構
306,electromagnetic mechanism pivotally,電磁機構樞轉
307,electromagnetic mechanism rotatably,電磁機構可旋轉
308,electromagnetic pivotally,電磁樞軸式
309,elongated assembly,細長組件
310,enclosure,外殼
311,flexible assembly,靈活組裝
312,flexible gloves,彈性手套
313,flexible repulsive elasticity,彈性排斥彈性
314,force,力量
315,lower unit assembly,下單元總成
316,metal spring element assembly,金屬彈簧元件總成
317,repulsion hypothesis,排斥假說
318,repulsion phase,排斥相
319,repulsive forces,排斥力
320,resilient assembly,彈性組件
321,rigid assembly,剛性裝配
322,sensing film,感應膜
323,tension,緊張
324,upper unit assembly,上單元總成
325,air member,空中成員
326,control cable,控制電纜
327,elastic arrangement,彈性排列
328,elastic assembly,彈性組件
329,elastic bed sheet,彈性床單
330,elastic search,彈性搜索
331,elastic shirt,彈力襯衫
332,elastic sofa cover,彈性沙發套
333,elastic spring body,彈性彈簧體
334,elastic support frame,彈性支撐架
335,elastomer,彈性體
336,elastomer spring,彈性體彈簧
337,electromagnet spring,電磁彈簧
338,energy member,能量成員
339,energy spring,能量彈簧
340,exemplary member,模範會員
341,exemplary pulley,示範滑輪
342,eye tube shunt assembly,眼管分流器組件
343,improved pulley,改進的滑輪
344,injection molded ring,注塑環
345,multistage elastic assembly,多級彈性裝配
346,resiliency,彈性
347,rubber elastic assembly,橡膠彈性總成
348,translational device,平移裝置
349,varying modulus,變模量
350,attractive force,引力
351,compressive reaction,壓縮反應
352,dipolar forces,偶極力
353,elastic repulsion,彈性斥力
354,elastic repulsive force,彈性排斥力
355,elastic restoring,彈性恢復
356,electric elastic repulsive,電彈性斥力
357,electric repulsion,電斥力
358,electric repulsive,電斥力
359,network speed,網速
360,repulsion motor,斥力馬達
361,resilient elastic,有彈性的
362,resilient reaction force,彈性反作用力
363,resilient restoring,彈性恢復
364,returning operation,返回操作
365,returning spring,回春
366,shape restoring force,形狀恢復力
367,spring elastic,彈簧彈性
368,spring initial tension,彈簧初張力
369,temperature dependent elastic repulsion,溫度依賴性彈性斥力
370,turning operation,車削操作
371,e field intensities,e 場強
372,electric density,電密度
373,electric energy,電能
374,electric field strength,電場強度
375,electric fields,電場
376,electric plasma,電等離子
377,electrical density,電密度
378,electrical discharge,放電
379,electrical energy,電能
380,electrical field,電場
381,electrical field strength,電場強度
382,electrical fields,電場
383,electrical network,電網
384,electrical plasma,電等離子
385,electrically charged particles,帶電粒子
386,electricity bill,電費單
387,electromagnetic force,電磁力
388,electrostatic field,靜電場
389,electrostatic generator,靜電發生器
390,exerts force,發力
391,field intensities,場強
392,force per charge,每次充電力
393,frequency electric fields,頻率電場
394,frequency electric plasma,頻率電等離子
395,frequency electrical field,頻率電場
396,frequency electrical fields,頻率電場
397,frequency electrical plasma,頻率電等離子體
398,frequency field,頻率場
399,frequency lesions,頻率病變
400,frequency plasma,頻率等離子體
401,frequency temperature field,頻率溫度場
402,frequency temperature plasma,頻率溫度等離子體
403,fundamental forces,基本力量
404,impedance discharge,阻抗放電
405,impedance fields,阻抗場
406,intensity of light,光強
407,intensity of magnetisation,磁化強度
408,intensity of spices,香料的強度
409,light intensity,光強
410,magnetic field intensities,磁場強度
411,physical field,物理場
412,temperature field,溫度場
413,temperature plasma,溫度等離子
414,voltage lesions,電壓損傷
415,voltage plasma,電壓等離子
416,automobile motor,汽車電機
417,device to rotate an engine crank,旋轉發動機曲柄的裝置
418,electric charge,電荷
419,electric cranking motor,電動啟動馬達
420,electric fish,電魚
421,electric furnace,電爐
422,electric light,電燈
423,electric oven,電烤箱
424,electric self starter,電動自啟動器
425,electric starter motor,電動啟動馬達
426,electric starting,電啟動
427,electric switch,電開關
428,electrical arrangement,電氣佈置
429,electrical motor arrangement,電動機佈置
430,electrical motor starter,電動機啟動器
431,electrical power,電力
432,electrical starter,電啟動器
433,electrical starter arrangement,電起動裝置
434,electrical starting device,電啟動裝置
435,electrically motor arrangement,電動機佈置
436,electrically motor starter,電動機啟動器
437,electrically starter,電啟動器
438,electrically starter arrangement,電起動裝置
439,electromechanical arrangement,機電佈置
440,electromechanical starter,機電啟動器
441,engine starter,發動機啟動器
442,engine starting,發動機啟動
443,engine starting means,發動機啟動裝置
444,food starter,食物開胃菜
445,phenomenon of electromagnetism,電磁現象
446,spring starter,彈簧起動機
447,starter,起動機
448,starter removably,啟動器可拆卸
449,starting device,啟動裝置
450,starting starter,啟動器
451,associated generator,關聯生成器
452,associated motor,相關電機
453,electric starter motors,電動啟動馬達
454,electrical switch,電氣開關
455,electrically driven starter,電動啟動器
456,external starter,外部啟動器
457,external starting,外部啟動
458,externally driven starter,外部驅動啟動器
459,externally starter,外部啟動器
460,ignition starter,點火器
461,ignition switch,點火開關
462,inverter,逆變器
463,operator,操作員
464,air burner,空氣燃燒器
465,air fan,風扇
466,automobile,汽車
467,control electric equipments,控制電氣設備
468,crank test,曲柄試驗
469,cranking motor,啟動馬達
470,diesel engine,柴油發動機
471,electric bill,電費單
472,electric engine,電動發動機
473,electric guitar,電吉他
474,engine crank,發動機曲柄
475,igniter,點火器
476,ignition burner,點火燃燒器
477,ignition fan,點火風扇
478,magnetic starter,磁力啟動器
479,magneto system,磁電機系統
480,moving chair,移動椅
481,starter food,開胃菜
482,starter motor,啟動馬達
483,ignition clutch,點火離合器
484,starter clutch,起動離合器
485,starter switch,啟動開關
486,ac current distribution,交流電流分佈
487,current distribution,電流分佈
488,current field signal,電流場信號
489,current frequency signal,當前頻率信號
490,current location,當前位置
491,current situation,現在的情況
492,current time,當前時間
493,dc current distribution,直流電流分佈
494,distribution business,分銷業務
495,electric current distribution,電流分佈
496,electrical current distribution network,電流分配網絡
497,electrical system,電子系統
498,electricity distribution,配電
499,electrons flow,電子流
0,garbage collection,垃圾收集
1,gradient,坡度
2,linear current,線性電流
3,magnetic current,磁流
4,magnetic current signal,磁流信號
5,magnetic field current,磁場電流
6,magnetic field signal,磁場信號
7,magnetic signal,磁信號
8,radio current,無線電電流
9,radio current signal,無線電電流信號
10,radio frequency current,射頻電流
11,radio frequency current signal,射頻電流信號
12,radio frequency signal,射頻信號
13,rf current,射頻電流
14,rf signal,射頻信號
15,structured collection procedure,結構化收集程序
16,substantially uniform current distribution,基本均勻的電流分佈
17,target conductor structure,目標導體結構
18,transverse current flow,橫向電流
19,uniform current distribution,均勻的電流分佈
20,water distribution,配水
21,wholesale distribution,批發分銷
22,collimated electromagnetic input beam,准直電磁輸入光束
23,device pulse,設備脈衝
24,drive,駕駛
25,electro optic coupler,電光耦合器
26,electromagnetic,電磁
27,electromagnetic device,電磁裝置
28,electromagnetic input apparatus,電磁輸入裝置
29,electromagnetic input signal,電磁輸入信號
30,expected,預期的
31,filtered low frequency,過濾低頻
32,filtered lower frequency,過濾低頻
33,filtered lower input,過濾下輸入
34,high frequency region,高頻區
35,information input,信息輸入
36,input device,輸入設備
37,input electromagnetic,輸入電磁
38,input tool,輸入工具
39,magnetic energy source input,磁能源輸入
40,magnetic layer,磁性層
41,microwave,微波
42,non magnetic structure,非磁性結構
43,output power,輸出功率
44,pulsed inputs,脈衝輸入
45,received frequency,接收頻率
46,received low frequency,收到低頻
47,received lower frequency,接收頻率較低
48,received lower input,收到較低的輸入
49,electromagnetic em field,電磁場
50,electromagnetic induction,電磁感應
51,electromagnetic irradiation,電磁輻射
52,electromagnetic irradiation radiation,電磁輻射
53,electromagnetic irradiation source,電磁輻射源
54,electromagnetic light source,電磁光源
55,electromagnetic light sources,電磁光源
56,electromagnetic radiant energy,電磁輻射能
57,electromagnetic radiation sources,電磁輻射源
58,electromagnetic source,電磁源
59,em light source,em 光源
60,em radiation source,em 輻射源
61,em radiation sources,電磁輻射源
62,em source,em 來源
63,exemplary electromagnetic radiation device,示例性電磁輻射裝置
64,exemplary electromagnetic radiation source,示例性電磁輻射源
65,exemplary electromagnetic source,典型的電磁源
66,exemplary electromagnetic source device,示例性電磁源裝置
67,exemplary radiation device,典型的輻射裝置
68,exemplary radiation source,示例性輻射源
69,exemplary radiation source device,示例性輻射源裝置
70,food source,食物來源
71,frequency of oscillation,振盪頻率
72,infrared irradiation radiation,紅外線輻照輻射
73,infrared irradiation source,紅外線照射源
74,infrared radiation,紅外輻射
75,infrared radiation source,紅外輻射源
76,irradiation medical device,輻照醫療器械
77,irradiation radiation,輻照輻射
78,irradiation source,輻照源
79,microwaves,微波爐
80,money source,資金來源
81,optional electromagnetic radiation device,可選電磁輻射裝置
82,optional electromagnetic radiation source,可選電磁輻射源
83,optional electromagnetic source,可選電磁源
84,optional electromagnetic source device,可選電磁源裝置
85,optional radiation device,可選輻射裝置
86,optional radiation source,可選輻射源
87,optional radiation source device,可選的輻射源裝置
88,oscillations of electric field,電場振盪
89,oscillations of magnetic fields,磁場振盪
90,radiant power,輻射功率
91,radiation,輻射
92,radiation irradiation source,輻射輻照源
93,radiation pressure,輻射壓
94,radiation source,輻射源
95,radiation waves,輻射波
96,radio waves,無線電波
97,source of cosmic rays,宇宙射線源
98,source of electromagnetic energy,電磁能量的來源
99,water source,水源
100,electromagnetic radiation,電磁輻射
101,electromagnetic radiation emitting,發射電磁輻射
102,electromagnetic source emitting,電磁源發射
103,light device,燈光裝置
104,light therapy source,光療源
105,low level light source,低級光源
106,optical source,光源
107,radiation emitting,輻射發射
108,radiation source emitting,輻射源發射
109,therapy source,治療源
110,information device,信息設備
111,information reader,信息閱讀器
112,information reading device,信息讀取裝置
113,optical device,光學裝置
114,optical reader,光學閱讀器
115,optical reading device,光學讀取裝置
116,absorbing the wavelength,吸收波長
117,black material layer,黑色材質層
118,broadband light sources,寬帶光源
119,control boundary element,控制邊界元素
120,device manager,裝置經理
121,electromagnetic lights source,電磁光源
122,emitter,發射器
123,excitation component,激勵分量
124,excitation component source,激勵分量源
125,excitation element,激發元件
126,excitation light device,激發光裝置
127,excitation light source,激發光源
128,excitation radiation device,激發輻射裝置
129,excitation radiation source,激發輻射源
130,excitation source,激發源
131,illuminant,發光的
132,illumination element,照明元件
133,illumination source,照明源
134,laser radiation source,激光輻射源
135,non electromagnetic radiation,非電磁輻射
136,optical component,光學元件
137,optical component source,光學元件源
138,optical element,光學元件
139,optical light device,光學照明裝置
140,optical light source,光學光源
141,optical radiation device,光輻射裝置
142,optical radiation source,光輻射源
143,radiant energy source,輻射能源
144,radiation generating device,輻射發生裝置
145,radiation hazard,輻射危害
146,source documents,源文件
147,source terminal,源終端
148,source tree,源代碼樹
149,x ray machine,X光機
150,target elevation,目標海拔
151,measure elevation,測量海拔
152,diagrammatic,圖解的
153,elevation elevational view,立面視圖
154,elevation plan elevation,立面圖立面圖
155,elevation plan view,立面平面圖
156,elevational elevation,海拔高度
157,elevational plan elevation,立面圖立面圖
158,elevational plan view,立面平面圖
159,elevational view,正視圖
160,relative elevation,相對海拔
161,schematic,示意圖
162,side elevation,側立面圖
163,side elevational elevation,側面立面圖
164,side elevational view,側視圖
165,side view,側面圖
166,view elevation view,查看立面圖
167,view elevational view,查看立面圖
168,angular elevation,仰角
169,cross isometric view,交叉等距視圖
170,cross sectional view,剖面圖
171,elevation perspective view,立面透視圖
172,elevational perspective view,立面透視圖
173,end elevation,末端標高
174,end elevational section,端立面剖面
175,end elevational view,端視圖
176,end perspective section,結束透視部分
177,end perspective view,末端透視圖
178,end view,端視圖
179,isometric view,等軸測視圖
180,perspective elevation,透視仰角
181,perspective view,透視圖
182,side perspective view,側面透視圖
183,elevation section,立面剖面
184,elevational diagram,立面圖
185,elevational section,立面剖面
186,perspective diagram,透視圖
187,cross illustration,交叉圖
188,cross perspective illustration,交叉透視圖
189,cross perspective representation,交叉透視表示
190,cross sectional illustration,橫截面圖
191,cross sectional representation,橫截面表示
192,cross view,交叉視圖
193,elevational illustration,立面圖
194,elevational perspective illustration,立面透視圖
195,elevational perspective representation,立面透視圖
196,elevational representation,立面圖
197,elevational schematic illustration,立面示意圖
198,elevational schematic representation,立面示意圖
199,illustration,插圖
200,perspective elevational illustration,透視立面圖
201,perspective elevational representation,透視立面表示
202,perspective illustration,透視圖
203,perspective representation,透視表示
204,perspective schematic illustration,透視示意圖
205,perspective schematic representation,透視示意圖
206,representation,表示
207,section view,剖面圖
208,sectional illustration,剖面圖
209,sectional perspective illustration,剖面透視圖
210,sectional perspective representation,剖面透視圖
211,sectional representation,剖面圖
212,sectional view,剖面圖
213,circuit architecture,電路架構
214,coupled capacitor,耦合電容
215,elevator pitch,電梯間距
216,eye view,眼觀
217,front elevation view,正視圖
218,hill view,山景
219,parallel lines,平行線
220,partial sectional view,局部剖視圖
221,partial side view,局部側視圖
222,side elevation view,側視圖
223,top perspective view,俯視圖
224,top score,最高分
225,transister,晶體管
226,two dimensions,二維
227,view bill,查看賬單
228,auto hammer,自動錘
229,cam actuated percussive tool,凸輪驅動的敲擊工具
230,device casing,設備外殼
231,electric hand tool machine,電動手工具機
232,embed groove,嵌入凹槽
233,embedded c,嵌入式
234,embedded groove,嵌入式凹槽
235,embedded integrated circuit,嵌入式集成電路
236,embedding,嵌入
237,embedding algorithms,嵌入算法
238,embedding annular groove,嵌入環形槽
239,embedding groove,嵌入槽
240,embedding holes,埋孔
241,embedding matrix,嵌入矩陣
242,embedding openings,嵌入開口
243,embedding ring,嵌入環
244,embedding spaces,嵌入空間
245,groove,槽
246,groove pencil,凹槽鉛筆
247,leg groove,腿溝
248,longitudinal grooves,縱向凹槽
249,rotating screw,旋轉螺桿
250,annular groove,環形槽
251,annular recess,環形凹槽
252,annular report,環形報告
253,clamping groove,夾緊槽
254,depth,深度
255,elongated groove,細長槽
256,embedded computer,嵌入式計算機
257,embedded grooves,嵌入式凹槽
258,embedded notch,嵌入式缺口
259,embedded recess,嵌入式凹槽
260,embedded slot,嵌入式插槽
261,embedding grooves,嵌入凹槽
262,embedding protrusion,嵌入突起
263,embedding slot,嵌入槽
264,embedding text,嵌入文本
265,groove music,凹槽音樂
266,groove notch,槽口
267,hole,洞
268,insertion pin,插銷
269,inwardly concave groove,向內凹槽
270,inwardly extending groove,向內延伸的凹槽
271,open groove,開槽
272,outer housing,外殼
273,piston ring,活塞環
274,sleeve,袖子
275,upward communication,向上溝通
276,upwardly concave groove,向上的凹槽
277,upwardly extending groove,向上延伸的凹槽
278,bluetooth turntable portion,藍牙轉盤部分
279,debossing portion,凹陷部分
280,diffraction grating tool,衍射光柵工具
281,embossed portion,壓花部分
282,embossed region,壓紋區域
283,embossing,壓花
284,embossing inner portion,壓花內部
285,embossing machine,壓花機
286,embossing part,壓花部分
287,embossing portion,壓花部分
288,embossing programs,壓花程序
289,embossing region,壓花區
290,embossing section,壓花部分
291,embossing segment,壓花段
292,embossing technique,壓花技術
293,food portion,食物部分
294,house portion,房子部分
295,mosaic wall painting,馬賽克壁畫
296,portion of the embossing,壓花部分
297,router portion,路由器部分
298,share portion,分享部分
299,wall paper,牆紙
300,wood double roller veneer press,木雙輥壓板機
301,amphiphilic polymer,兩親聚合物
302,aqueous,水性
303,aqueous pigment,水性顏料
304,article,文章
305,capsulated pigment,膠囊色素
306,coated pigment,包覆顏料
307,electrophoretic composition,電泳組合物
308,electrophoretic pigment,電泳顏料
309,encapsulated biological material,封裝的生物材料
310,encapsulated bottle,封裝瓶
311,encapsulated color,封裝顏色
312,encapsulated colored material,封裝的有色材料
313,encapsulated component,封裝組件
314,encapsulated composition,封裝組合物
315,encapsulated dye,包封染料
316,encapsulated meat,包肉
317,encapsulated particles,包封顆粒
318,encapsulated phthalocyanine,包封酞菁
319,encapsulated pigment composition,包封顏料組合物
320,encapsulated pigments,包封顏料
321,encapsulated shell,封裝外殼
322,encapsulated tint,封裝色調
323,eye pigmentation,眼睛色素沉著
324,hyperpigmentation,色素沉著過度
325,ink,墨水
326,inkjet,噴墨
327,non encapsulated,非封裝
328,passivation layer,鈍化層
329,polymer coated,聚合物塗層
330,printing,印刷
331,silver halide,鹵化銀
332,stable aqueous,穩定的水性
333,stable pigment,穩定的色素
334,un encapsulated,未封裝
335,aqueous dispersion,水分散體
336,aqueous fine composition,水性精細組合物
337,aqueous fine dispersion,水性細分散體
338,aqueous pigment composition,水性顏料組合物
339,aqueous pigment dispersion,水性顏料分散體
340,encapsulated particle,包封顆粒
341,encapsulating pigment,包封顏料
342,ink dispersion,油墨分散
343,ink fine composition,墨水精細成分
344,ink fine dispersion,油墨精細分散
345,ink pigment,油墨顏料
346,ink pigment composition,油墨顏料組成
347,ink pigment dispersion,油墨顏料分散體
348,particle,粒子
349,present invention,本發明
350,present pigment,現色素
351,core pigment,核心色素
352,cosmetic,化妝品
353,encapsulated,封裝的
354,encapsulated bacteria,被包裹的細菌
355,encapsulated luminescent pigment,封裝發光顏料
356,encapsulated nail,包封釘
357,encapsulated pigment particles,包封顏料顆粒
358,encapsulating agents,包封劑
359,encapsulating dyes,包封染料
360,encapsulation component,封裝組件
361,fill formulations,填充配方
362,multilayer structure,多層結構
363,pigment particles,顏料顆粒
364,pigmentation cream,色素沉著霜
365,skin pigments,皮膚色素
366,stain,弄髒
367,suitable encapsulation,合適的封裝
368,time release material,時間釋放材料
369,virus capsule,病毒膠囊
370,encircle with opening,用開口包圍
371,enclose copy,附上副本
372,enclose with base,用底座圍起來
373,enclose with gaps,用間隙包圍
374,enclose with opening,用開口封閉
375,enclose with part,附上部分
376,enclose with wall,用牆圍起來
377,enclosed document,隨附文件
378,enclosed opening,封閉式開口
379,enclosed with opening,有開口封閉
380,enclosed with orifices,用孔口封閉
381,enclosing with opening,帶開口封閉
382,open bid,公開投標
383,open room,開間
384,opening stock,上市股票
385,openings with enclose,帶封閉的開口
386,vent,發洩
387,binary converter,二進制轉換器
388,coding form,編碼形式
389,data decryption unit,數據解密單元
390,decode form,解碼形式
391,decryption code,解密代碼
392,decryption key,解密密鑰
393,encode form video bit stream,編碼形成視頻比特流
394,encode in form,編碼形式
395,encoded form,編碼形式
396,gaseous form,氣態
397,head end encoder,前端編碼器
398,interframe encode form,幀間編碼形式
399,liquid form,液體形式
400,pre encoded form,預編碼形式
401,predetermined encode form,預定編碼形式
402,simple design,簡單的設計
403,simple encoder,簡單編碼器
404,solid form,固體形式
405,structural form,結構形式
406,url encode,網址編碼
407,barbell,槓鈴
408,barbell rod,槓鈴桿
409,barcode scanner,條形碼掃描器
410,bars end,酒吧結束
411,bars outer edge,鋼筋外緣
412,bead loom,珠織機
413,compose of bars,由條組成
414,consist of bars,由酒吧組成
415,end bars,端條
416,end caps,端蓋
417,end product of protein,蛋白質的終產物
418,end side,端面
419,end side array,端側陣列
420,form of bars,條形
421,gold end bars,金端條
422,loop connector,環路連接器
423,make of bars,製作酒吧
424,multi stranded,多股
425,nutri grain bar,營養穀物棒
426,rods,棒
427,rods edge,棒邊
428,rods end,桿端
429,round end bar,圓形端桿
430,sliding clasps,滑動扣
431,ball end pin,球頭銷
432,bottom pins,底銷
433,dead end,死路
434,edge pins,邊銷
435,end days,結束日
436,end of the movie,電影的結尾
437,fabric end,布端
438,first tooth row,第一排牙
439,flat end pins,平端銷
440,lock installed,鎖安裝
441,pinheads,針頭
442,quick release,快速釋放
443,screw heads,螺絲頭
444,second tooth rows,第二齒排
445,secure pins,固定銷
446,securing means,固定裝置
447,semiconductor pins,半導體引腳
448,side pins,側銷
449,slider teeth,滑塊齒
450,stops,停止
